微博创建时间,微博url,点赞数,转发数,评论数,工具,关键词,微博内容,情感得分,TF-IDF关键词,TextRank关键词
2018/1/15 22:20,https://weibo.com/2258727970/FEwtC8Z0X,122,141,157,秒拍网页版,A股,【全球第一房地产企业，是中国的了！】近期A股市场房地产股票持续大涨，万科A和保利地产等龙头股纷纷创出历史新高。小市值地产股也一样大幅飙升，龙头荣安地产6个交易日5个涨停。港股市场的内房股表现更加疯狂，中国恒大去年涨近5倍，碧桂园涨近3倍。截至1月12日收盘，万科A市值已经逼近4000亿元，达到3924亿元，成为全球房企市值冠军。1月3日万科A公布12月份销售数据，合同销售面积销售金额，同比大增171%和165%；2017年全年这两个数据同比增长30%和45.3%。分析人士表示，未来中国的龙头房企仍将受益于城市化，并且有望受益于整个行业集中度的提升、以及多元化扩张，甚至不排除万亿市值房企的出现。 http://t.cn/RQInOFo,76.47980714,房企 市值 涨近 12 万科 ,市值 销售 中国 市场 地产 
2018/1/15 17:50,https://weibo.com/3864498823/FEuI4i97R,244,19,66, ,A股,今天茅台盘中破万亿市值，所有人可能都在想一个问题：茅台还能涨多久？说实话，茅台涨多久，和我关系不大，因为我没买。但作为一种现象，可以讨论一下。但首先要搞清楚一个问题：茅台为啥涨？两个方面，第一，机构持股。茅台的股东大部分都是机构，机构出于避险和稳定获利的需要，在中国A股价值投资还不清晰的情况下，茅台是不多甚至唯一的优质选择。第二，资源稀缺。茅台是不可替代的稀缺资源，再加上中国原产的奢侈品标签，想不涨都难。那么回到原问题，茅台涨多久？很简单：如果目前结构化行情不改变，茅台涨不停，只有出现更加稳定优质的标的，资金才会选择改变，目前来看，这个条件还不成熟，所以说，茅台还得继续涨。至于说涨多久，涨多高只是数字而已，区别并不大。[组图共9张],-20.87421826,茅台 多久 机构 优质 A股 ,茅台 机构 中国 作为 改变 
2018/1/11 8:04,https://weibo.com/1896820725/FDPa36dK8,1119,177,152,360安全浏览器,A股,早间看盘：九阳神功！这个金庸武侠小说中的一门厉害功夫，A股历经磨难，再次修的正果。A股历史也不算短了，长达28年的股市，近7000个交易日，出现9连阳的时候不多，据统计加上这次仅仅只有4次，前三次其后一月的涨幅都不小（见下面那个统计图表），前三次九阳神功后，其后走势最低的涨幅在14.65%，最高的在19.15%，发生在2015年那次牛市的过程中。我们做股票就是做大概率，尊重趋势和技术提示，截止目前为止，从日线，到周月线均无毛病，指数9连阳，不代表所有个股都能九阳，一些个股道行不到还在修炼中，但有151只个股已经在新年刷新历史新高了！分化是显而易见也是今后股市的常态，不能因为一些朋友持股不对或持股还未走强，你就另眼看待了。九阳是大资金或机构极度看好后市的表现，没有把握，机构主力是不会修的九阳神功的。这轮行情的最低目标是突破3450点，上攻3600点左右是很大的概率。今天收阳收阴已经不重要了，十全十美更好，适当休息也无措，最关键的核心是保持趋势，维持轮动和主流资金的介入。热点看，这轮反弹的几大热点，侠哥在元旦都给大家提示了，第一、业绩驱动、第二涨价题材、第三、区域政策、第四次新股反攻、第五、黑科技新技术。走出这9连阳，走势强劲的板块或题材，大家可一一对照，不在复述。昨天最火的是黑科技，区块链板块，带动的科技互联网题材，区块链包括大数据，云计算，软件等都在昨天并不算太好的个股行情中闪闪发光。很多人崇尚美股的价值投资，殊不知，美股的题材炒作同样令人咋舌，美股的区块链题材，只要沾边，少则50%，多则数倍的涨幅就在两天给你。所以大家目前的思路，建议还是从这几块入手，多下点功夫，好好梳理，行情不会差的。操作上，目前是线上走高过程中，没大毛病或成交异常放大，无需自己天天嘀咕吓自己，盘中小震荡洗盘，甚至回调两天，在牛市中也经常发生。历史的极限是10阳，而且就一次，所以，今天起随时收根阴线，也无需紧张！相反，震荡洗盘中，可以更好的区别去强势股或弱势股，择机换股或低吸加仓的机会。近3500只个股了，以后永远也不会齐涨齐跌了，买上升通道中股，买有价值的股，买有预期有政策的股，买有成交有换手有资金玩的股！卖出下降通道的股，卖出业绩下滑或亏损的股，卖出没量没题材没人玩的股，卖出涨幅太大的股！就这。以上观点，仅供交流，据此操作，后果自负！,150.9222985,九阳 题材 美股 区块 神功 ,题材 个股 连阳 卖出 资金 
2018/1/11 16:01,https://weibo.com/1645823934/FDShJ4Zx3,635,118,165,微博 weibo.com,A股,今天收出小阳线，构成10连阳，创下26年以来最长的连涨记录！可喜可贺！2017年预期6.9%的增长势头强劲，上市公司业绩增长有望超20%，2018年是MSCI纳入A股的元年，养老金及中国版的401K计划将要实施，均线系统已经形成多头排列，技术上形成一个完美U型，10连阳将迫使空头转向。A股开局良好！,31.53988985,10 A股 连阳 26 2017 ,连阳 形成 A股 转向 空头 
2018/1/10 22:59,https://weibo.com/1896820725/FDLB70C9w,647,106,138,iPhone 7 Plus,A股,美国股市目前共有8549只股票，股价最贵的是巴菲特的伯克希尔股价超过30万美元一股，股价最低的是一堆1美分股票。这是成熟市场的情况，在美股也天天是一半涨一半跌，甚至9年牛市都与股价无关的熊股！所以大家要适应目前A股的走势，以后的分化也只会更严重。买能涨的票，抛弃涨不了的票[doge],9.085125303,股价 一半 8549 30 美股 ,股价 走势 无关 适应 A股 
2018/1/10 12:50,https://weibo.com/1896820725/FDHBU9RHf,803,17,196,微博 weibo.com,A股,开工，上午指数行情，走出28行情，机构主力轮番拉升指数攻击3450点，攻关玩权重，这是常用的手法，可能今天指数还是阳线实现九连阳的面大，8类个股不涨也是暂时的，不妨碍A股整体向上的趋势，没必要大呼小怪的。美股也是道指，标普和纳指齐涨的。相信这种28行情是暂时的现象，下午黄线就会改善止跌反弹。目前走势没大问题，个股虽然跌多涨少，操作难度较大，放平心态，耐点心就行了。,17.33138489,28 行情 指数 暂时 3450 ,指数 行情 个股 止跌 整体 
2018/1/11 7:35,https://weibo.com/1708922835/FDOYj49ME,178,434,147,微博 weibo.com,A股,【在茅台上赚了5倍，也曾一天暴跌50%，神秘私募大佬首次揭秘30年投资秘诀】1989年入市，本金5000元，到1996年赚了5套房；1997年开始专职炒股，亲历亚洲金融危机；经历过非典、911，两次都在一天跌去50%，穿越A股、港股的数次牛熊，做到精准切换，最终收益过万倍……他就是深圳万利富达董事长兼首席投资官胡伟涛，也是#新财富学院#《私募实战营》1月13日课程的荣誉导师，一个股市活化石，也是一个价值投资坚定的践行者http://t.cn/RQw4I1n[组图共2张],59.85082517,50% 私募 30 1989 5000 ,投资 导师 学院 亲历 董事长 
2018/1/11 21:06,https://weibo.com/1896820725/FDUhwoRcp,696,98,169,微博 weibo.com,A股,A股历史上，可供参考的10阳走势，有两段，一段是2015年3月9日到3月24日，10连阳！其后走出了轰轰烈烈的刚刚牛市直到5178见顶！，第二段是2006年6月15日到6月29日也是10阳（但你面有一根假阳），这个更厉害，其后开始了至今最大的那轮牛市终结在历史高点6124！这两段10阳后面都出现了近10几年的两轮大牛市走势。这次不经意间，再遇10连阳，同志们，可能意想一下！是不是新一轮牛市的信号！！！现在说可能早点，但历史有时候是相同的，至少目前看是这样，坚决看多！不动摇[haha],24.98368825,10 日到 牛市 连阳 两段 ,牛市 历史 同志 可能 高点 
2018/1/11 10:26,https://weibo.com/1896820725/FDQ5Vxngn,628,11,68,微博 weibo.com,A股,开盘一小时点评：今日早盘大盘强势震荡，昨日完成九阳神功后，大盘向上突破3450点的趋势大概率确认，历史上A股极限是10连阳，十全十美，今日大盘主力低开，有意做出十全十美的走势。热点看，区块链这个新科技越来越火，逐步带动科技股全面走强的趋势，权重股中保险银行真是中坚力量，绝对护盘主力！大盘进入冲关前的小震荡和洗盘阶段，预计几日后就将创出3450点新高！今日指数不预判阴阳，已经没意义了。安心做个股即可，更大的行情还在后面了！继续嗨,47.92798382,3450 大盘 十全十美 今日 早盘 ,大盘 主力 趋势 震荡 指数 
2018/1/11 6:38,https://weibo.com/1216826604/FDOBvqRQ6,2071,25,548, ,A股,瑞银：2018年A股目标点位4450点????大家信不信？,5.693147932,2018 A股 4450 信不信 点位 ,目标 大家 点位 信不信 A股 
2018/1/10 13:02,https://weibo.com/1645823934/FDHGQuR3R,494,112,145, ,A股,我的观点重申：A股第一买点是钻石底，第二买点在婴儿底，而且是低估的龙头好股票才能买，其他地方买股票都不是最佳买点，需要更加严格的选股要求以及更加长的投资计划。但凡投资都要是馀钱，即短时间无使用计划的钱，不能够有杠杆，要非常小心谨慎。每个投资者千差万别，绝对不能够根据我的微博来操作股票。,-8.36025887,买点 股票 A股 选股 微博来 ,买点 股票 计划 A股 投资 
2018/1/10 12:39,https://weibo.com/1645823934/FDHxd6Hhc,411,66,138,微博 weibo.com,A股,港股连涨12天，站上31000，平50年连涨记录，看来港股不是普通的牛市，而是50年来难遇的牛市！如果今天收阳，则形成9连阳，平2015年3月23号以来记录！A股也许是个小牛市？,-2.206821323,50 连涨 港股 牛市 记录 ,港股 记录 牛市 连涨 形成 
2018/1/16 11:11,https://weibo.com/1926909715/FEBwCByIJ,1571,279,708,iPhone客户端,A股,【最穷上市公司：账上只剩178元 网站欠费被关停】你能想象，堂堂一家A股上市公司，账面上只有100多块钱，是什么情景？我们出门随身带的钱包里恐怕也远远不止这个数。 近日有细心的投资者发现，深交所主板上市公司*ST华泽的官网已经打不开了。1月12日，*ST华泽通过互动易平台回复投资者问询时表示：公司网址因欠费暂停。 *ST华泽背后有着一段令人心酸的境遇。该公司被关联方违规占用资金14.97亿元，而拥有552名员工的*ST华泽2016年报公布的净资产才8.5亿元。令人遗憾的是，这件牵动6万多投资者的事情从曝光至今已接近2年时间，但一直没有实质性进展。（via 每日经济新闻）http://t.cn/RQMulns[组图共2张],28.63417338,ST 华泽 欠费 上市公司 投资者 ,投资者 公司 没有 问询 表示 
2018/1/16 14:42,https://weibo.com/1638782947/FECU76YF6,1081,243,243,专业版微博平台,A股,#最穷上市公司账上只剩178#【最穷上市公司被曝光：552位员工 账上只剩178元】你能想象，堂堂一家A股上市公司，账面上只有100多块钱，是什么情景？最近就真有一家这样的公司被曝光，由头竟是因为公司官网突然的“停摆”。就在投资者们纷纷打听官网“去哪儿了”的时候，互动易平台上这家公司却出面表示：我们已经欠费停机了。背后有着一段令人心酸的境遇&gt;&gt;&gt;http://t.cn/RQMQHNR[组图共3张],10.42356171,gt 178 官网 最穷 账上 ,官网 公司 A股 表示 心酸 
2018/1/16 12:55,https://weibo.com/1956700750/FECcIqVAj,1014,263,288,微博 weibo.com,A股,【最穷上市公司被曝光：552位员工 官网都欠费停了】你能想象，堂堂一家A股上市公司，官网却因为欠费停了是什么情景？最近就真有一家这样的公司被曝光，因为公司官网突然的“停摆”。就在投资者们纷纷打听官网“去哪儿了”的时候，这家公司却出面表示：我们已经欠费停机了。最穷上市公司被曝光：552位员工 账上只剩178元 [组图共2张],4.168678494,官网 欠费 曝光 552 最穷 ,官网 欠费 公司 A股 表示 
2018/1/16 10:56,https://weibo.com/1642585887/FEBqu0E74,484,202,221,微博 weibo.com,A股,#上市公司那点事儿# 【最穷上市公司被曝光：552位员工 账上只剩178元】你能想象，堂堂一家A股上市公司，账面上只有100多块钱，是什么情景？我们出门随身带的钱包里恐怕也远远不止这个数。最近就真有一家这样的公司被曝光，由头竟是因为公司官网突然的“停摆”。就在投资者们纷纷打听官网“去哪儿了”的时候，互动易平台上这家公司却出面表示：我们已经欠费停机了。这家连官网的运营费都支付不起的\*ST华泽，背后有着一段令人心酸的境遇。http://t.cn/RQMQHNR,15.42154836,官网 曝光 上市公司 这家 552 ,官网 公司 心酸 A股 情景 
2018/1/18 18:38,https://weibo.com/1896820725/FEXj8nYgP,783,20,107,iPhone 7 Plus,A股,港股也收摊了，继续创历史新高，根本停不下来！A股我不天天说了，这把持续做多持续蒙对了，明天继续看多做多[加油][加油][加油]后市小目标3600点不见不散,-3.417882732,加油 不见不散 A股 蒙对 看多 ,加油 继续 停不下来 新高 历史 
2018/1/18 13:53,https://weibo.com/1896820725/FEVrbELTa,998,23,140,iPhone 7 Plus,A股,A股股民大多不玩港股，美股，要是很多人这样患得患失的心态，在人家那种市场长牛走势没完没了的涨还不知被甩下多少了，行情不涨吧，天天盼着涨，行情来了吧，又不敢相信自己！涨几天连200点都不到的行情就天天自己吓自己！这是病！严重的心理病！得治[吃瓜],-11.25975379,行情 天天 A股 美股 长牛 ,行情 股民 市场 人家 甩下 
2018/1/18 21:23,https://weibo.com/1896820725/FEYo35MqC,634,17,64,iPhone 7 Plus,A股,全球股市走牛！A股不会例外的，晚上没啥点评的，坚决看多做多不动摇，目前不存在大的风险，啥时都涨一遍了再说风险吧！继续嗨[加油][加油][加油],2.504183516,加油 A股 看多 风险 全球股市 ,A股 加油 存在 例外 不会 
2018/1/18 15:47,https://weibo.com/1645823934/FEWbzr5Ph,321,57,144, ,A股,国家统计局：2017年中国GDP首次登上80万亿元门槛，同比增长6.9%，是自2010年以来我国经济增长首次加速。评：2017年整体形势好于预期，决胜全面小康迈出坚实步伐，经济加速对股票市场有非常重要的意义，这是一个重要利好消息！其中港股创历史新高和A股创两年新高有基本因素的支持。低估蓝筹股的稳定增长也是有基础的。,40.63664539,2017 新高 加速 GDP 80 ,新高 经济 加速 预期 因素 
2018/1/17 11:51,https://weibo.com/1831200480/FELdzaCGn,200,404,146,微博 weibo.com,A股,茅台只不过是一家以2017年度为基准，今后5年甚至更长时间，能够以30%或以上复合成长的公司。至于现在其股价（750左右）贵不贵，能不能买，要不要卖，那就仁者见仁智者见智了，因为个体预期不同嘛。不过，即便是这家A股市场确定性最高的公司（我不知道要不要加“之一”），股价也是会大幅波动的。因为股价是市场先生投票的结果，股市也是少数人给多数人的资产定价的神奇场所，换手率越低的公司，市场先生的定价就有可能越不合理。所以，我记得巴菲特曾经说过（大意）：你要是不能承受你持有的公司股价下跌超过50%的打击，那你就不适合进入股票市场。所以，写这条微博之前，我问了自己：茅台股价要是又回到了三、四百元，你扛得住受得了睡得着吗？对我而言，答案是明确的，于是一切便豁然开朗了。[耶][耶][耶],31.41859157,股价 茅台 公司 定价 扛得住 ,公司 股价 市场 先生 定价 
2018/1/17 23:49,https://weibo.com/1638782947/FEPUFwTDm,85,194,82,专业版微博,A股,【全球牛市集体降临？五大股市7大指数刷历史新高】全球牛市忽然降临！美股新高、英股新高、印度股市新高、巴西股市新高，一水之隔的港股市场，也在今日突破10年历史大顶，恒生指数创下31983.41点的历史新高，全球牛市似乎只差A股了。全球牛市集体降临？五大股市7大指数刷历史新高,39.79960306,新高 牛市 降临 股市 全球 ,新高 牛市 股市 全球 历史 
2018/1/16 14:44,https://weibo.com/2885395354/FECV1j9eW,105,672,598,微博 weibo.com,A股,#成都分享#【#最穷上市公司#：账上只剩178元 网站欠费被关停】你能想象，堂堂一家A股上市公司，账面上只有100多块钱，是什么情景？我们出门随身带的钱包里恐怕也远远不止这个数。近日有细心的投资者发现，深交所主板上市公司*ST华泽的官网已经打不开了。1月12日，*ST华泽通过互动易平台回复投资者问询时表示：公司网址因欠费暂停。*ST华泽背后有着一段令人心酸的境遇。该公司被关联方违规占用资金14.97亿元，而拥有552名员工的*ST华泽2016年报公布的净资产才8.5亿元。令人遗憾的是，这件牵动6万多投资者的事情从曝光至今已接近2年时间，但一直没有实质性进展。（via 每日经济新闻）网友：我竟然比上市公司有钱...[doge][组图共2张],31.36865247,ST 华泽 欠费 上市公司 投资者 ,投资者 公司 没有 问询 表示 
2018/1/16 22:21,https://weibo.com/1564198397/FEFULwNCx,294,47,36,360安全浏览器,A股,#企鹅复盘# 144期，A股市场没有新鲜事，投资进化靠的就是认知升级，而你看到的都是你想看到的，看不到的也不会有人白白分享给你。今日视频利用每天复盘的联动路径讲讲 “ 大局观 ” 希望能唤起你的历史记忆。大家认可的话，我可以抽空码文字版分享[作揖] 套利企鹅的秒拍视频,20.47250649,复盘 企鹅 视频 分享 大局观 ,复盘 没有 分享 作揖 记忆 
2018/1/19 21:49,https://weibo.com/5907174545/FF7ZgcYHa,1362,494,231, ,A股,我不管大家都必须给我看陈立农跳舞啊啊啊啊啊啊不仅唱歌好听 跳舞也很可爱啊 我求大家走过路过必须点开看 优质A股一路飘红 睡觉也不行吗的秒拍视频,10.43356394,啊啊啊 跳舞 陈立农 我求 A股 ,跳舞 开看 A股 唱歌 路过 
2018/1/19 23:14,https://weibo.com/2144596567/FF8xppKhm,348,89,89,HUAWEI Mate 9,A股,浦发银行成都分行的故事，是去年让一些人不敢买银行股甚至不敢买A股的主要原因，后来看到银行股节节攀升，大家都把气撒在了浦发银行身上，现在消息出来了，也算一大利空出尽吧。,-5.259633182,浦发银行 A股 出尽 不敢 银行 ,原因 攀升 银行 看到 故事 
2018/1/20 17:02,https://weibo.com/1638782947/FFfxaqaeu,284,179,378,专业版微博,A股,【仲继银：阿里腾讯不在A股上市是中国资本市场的悲哀】百度在纳斯达克上市，阿里在纽交所上市，腾讯在港交所上市，我们国内最优秀的一批互联网公司，都没有在A股上市。中国社科院研究员仲继银认为，这是中国资本市场的悲哀，“我们仅仅是这些公司的消费者，而不是他们的股东。”仲继银：阿里腾讯不在A股上市是中国资本市场的悲哀,-14.19913734,仲继银 A股 上市 腾讯 悲哀 ,上市 中国 资本 A股 市场 
2018/1/19 10:42,https://weibo.com/2144596567/FF3CdBmvd,311,21,40,HUAWEI Mate 9,A股,你问：为什么每次闭关后行情都不错？ 我答：运气好，也可能是因为闭关需要花钱吧。 是的，我运气比较好，年关前谈得最多的大金融、落难英雄表现都不错。希望自己好运继续，2018A股完美呈现“继往开来”。,20.72743651,闭关 运气 不错 我答 前谈 ,闭关 可能 A股 表现 需要 
2018/1/19 11:34,https://weibo.com/2031030981/FF3XkDF66,135,84,32,微博 weibo.com,A股,发布了头条文章：《12月经济数据解读》 注意看文中M1-M2对比A股&amp;房价的图。 12月经济数据解读,9.169272247,12 解读 M1 M2 A股 ,A股 解读 数据 文章 头条 
2018/1/21 21:40,https://weibo.com/1638782947/FFqMg46rM,59,141,173,微博 weibo.com,A股,【不到一年白酒卖出5189亿 去年哪个省份的人喝酒最多?】　近期股票市场白酒的表现背后，是近年来白酒消费的不断走高。贵州茅台1月15日市值破万亿，成为A股第一个市值突破万亿的消费股。临近年关，很多人认为贵州茅台仍有上升空间。近期股票市场白酒的表现背后，是近年来白酒消费的不断走高。日前有报道称，2017年1-11月，全国规模以上白酒企业累计完成销售收入5189.15亿元，比上年同期增长13.48%；累计实现利润总额897.75亿元，比上年同期增长33.53%。此外，近年来白酒销售收入也是不断提升。http://t.cn/RQW9XRB,31.54350492,白酒 近年来 消费 销售收入 茅台 ,白酒 累计 消费 走高 销售收入 
2018/1/21 3:40,https://weibo.com/1638782947/FFjIdCtuy,123,67,80,微博 weibo.com,A股,【罗辑思维拟2018申请A股IPO 知识付费上市路将开启？】2016年被称为知识付费元年，大量知识付费类App及重量级子栏目上线。知识付费持续获资本青睐，仍处于高速增长中。尽管知识付费的风口谁能拔得头筹暂未可知，但若能抢先一步登陆资本市场对品牌溢价势能产生更大助力。罗辑思维拟2018申请A股IPO 知识付费上市路将开启？,39.88806197,付费 知识 罗辑 2018 A股 ,知识 付费 资本 A股 品牌 
2018/1/20 17:11,https://weibo.com/1648195723/FFfAOe7RS,385,41,33,微博 weibo.com,A股,发布了头条文章：《美国政府关门，A股会怎么走？》 欢迎转发，多转发互动才不会漏掉我微博。 美国政府关门，A股会怎么走？,7.793183015,A股 转发 关门 美国政府 微博 ,转发 文章 关门 头条 发布 
2018/1/21 9:41,https://weibo.com/1639498782/FFm4pezsV,51,32,37,微博 weibo.com,A股,【“区块链”火烧资本市场】1月5日，受海外市场区块链概念股暴涨的刺激，A股众多与区块链沾边的上市公司股价也开始普涨。以迅雷、暴风、人人网等公司为代表的老牌互联网企业试图依靠区块链技术实现自身的转型，但作为比特币底层技术的区块链，其实是一种去中心的分布式记账方式，大部分上市公司仅仅发表了意图进行区块链研究的公告，并无实际研究成果或创新。这究竟是一场资本市场套利，还是货真价实的商业模式？http://t.cn/RQCPAGj,31.51177578,区块 A股 普涨 网等 http ,区块 技术 市场 依靠 老牌 
2018/1/2 2:51,https://weibo.com/5083518500/FCqgxqX9L,11,11,10,iPhone客户端,A股,【2017年A股行情极端分化】分析认为，2017年行情仍是对上一轮牛市散场后的生态恢复，即低估值股票逐渐恢复至正常估值水平，而高估值股票继续挤泡沫、压估值。在市场整体信心低迷、机构避险求稳心态上升、散户逐渐退出、存量资金主导的背景下，A股走出了极端分化的行情：蓝筹白马股牛市，估值不具优势的小盘股熊市。2018年，A股市场流动性会出现更大的紧缩，A股估值水平将会受到压制，预计结构化行情仍会延续。,24.74956164,A股 估值 2017 行情 牛市 ,估值 A股 行情 极端 分化 
2018/1/18 6:29,https://weibo.com/6137409076/FESxkmPdw,12,103,59,百度分享,A股,【联连理财的发展】 近日，A股主办上市公司中路股份旗下的P2P平台联连理财正式宣布在去年里先后完成了银行存管、资产限额这两个合规的难点，并且其在电子合同方面也做出了多项努力，整体的平台合规性越来越高。要知道，当下《暂行办法》、《信披指引》等P2P文件的陆续发布，让网贷行业的合规路径越来越鲜明。 http://t.cn/RQa3A7Y,23.46838032,联连 P2P 合规 理财 平台 ,平台 股份 合规 理财 行业 
2018/1/18 6:29,https://weibo.com/6137409076/FESx0maEu,10,111,66,百度分享,A股,【蹭热度还是图发展，中国软实力的区块链之路好走吗？】 　港股解码，香港财华社王牌专栏，20年专注港股，金融名家齐聚，做最有深度的原创财经号。看完记得订阅、评论、点,26.56040474,港股 链之路 财华社 20 区块 ,港股 发展 实力 中国 香港 
2018/1/17 11:35,https://weibo.com/1670404053/FEL6U7PQd,43,21,0,微博股票,A股,A50冲高回落，有回调欲望，整体趋势保持不变。a股指数难有大回调上证指数 sh000001,3.913714288,回调 A50 冲高 sh000001 难有 ,回调 欲望 趋势 整体 不变 
2018/1/17 17:41,https://weibo.com/5324058815/FENvngAhT,14,10,10,微博 weibo.com,A股,大家都在说港股创历史新高，这个大新闻，晚上估计要上新闻联播了！  现在全球大牛市，美股上2万6，日股2万4，港股上3万，个个创新高，A股还在3400，不知道的以为是一线城市跟五线城市房价对比，惭不惭愧？不过，这也不是坏事，虽然咱们涨得少，但潜力大啊；虽然股民不赚钱，但股灾多啊！ [组图共2张],9.22025074,港股 美股 日股 A股 3400 ,赚钱 港股 新高 城市 新闻 
2018/1/20 8:14,https://weibo.com/1651428902/FFc4PCut8,21,24,0,21广场,A股,【腾挪香港上市平台：“断臂”后万达资产布局路径渐明】万达商业的资产布局正在变得清晰：以文旅和酒店管理为主的轻资产业务在香港上市，以万达广场为主的轻重结合业务则谋求A股上市。经历过出售文旅和酒店项目而“断臂”的万达商业，正在重新实施资产布局。腾挪香港上市平台：“断臂”后万达资产布局路径渐明（21）,44.28016942,万达 断臂 布局 资产 渐明 ,资产 上市 布局 香港 文旅 
2018/1/21 11:25,https://weibo.com/1801487174/FFmKG2DhL,34,28,36,微博 weibo.com,A股,【水皮：美元正在杀死某些低价股！A股投资者不得不防】根据经验来讲，当加息加到第六轮的时候，它就一定会对当前的股市产生拐点的作用，因为毕竟财务成本上涨之后，对于上市公司的业绩是会有负面影响的，那个时候很可能会形成阶段性头部，这一点中国的A股投资者不得不防。(华夏时报)http://t.cn/RQWugku,8.597755109,A股 不得不 http cn RQWugku ,A股 作用 形成 可能 头部 
